fecha,ubicacion,temp_min,temp_max,lluvia,evaporacion,horas_sol,dir_rafaga_viento,vel_rafaga_viento,dir_viento_9am,dir_viento_3pm,vel_viento_9am,vel_viento_3pm,humedad_9am,humedad_3pm,presion_9am,presion_3pm,nubes_9am,nubes_3pm,temp_9am,temp_3pm,llovio_hoy
2008-12-01,Albury,13.6,22.5,0.6,,,W,45.0,W,WNW,19.0,25.0,68.8,23.8,1008.1,1007.2,8.0,,16.8,20.8,No
2008-12-02,Albury,7.3,25.8,0.0,,,WNW,44.0,NNW,WSW,4.0,23.0,40.1,22.1,1011.1,1007.5,,,18.3,24.6,No
2008-12-03,Albury,13.2,26.2,0.0,,,WSW,46.0,W,WSW,20.0,27.0,36.2,31.5,1007.3,1009.4,,2.0,21.2,23.4,No
2008-12-04,Albury,10.0,28.8,0.0,,,NE,23.0,SE,E,10.0,10.0,45.8,18.5,1017.6,1012.4,,,17.4,26.3,No
2008-12-05,Albury,17.4,32.4,1.0,,,W,41.0,ENE,NW,6.0,17.0,83.5,34.6,1010.9,1005.9,7.0,8.0,17.9,29.1,No
2008-12-06,Albury,14.5,30.1,0.2,,,WNW,55.0,W,W,19.0,24.0,56.6,23.0,1009.9,1005.5,,,20.9,28.2,No
2008-12-07,Albury,15.1,25.3,0.0,,,W,51.0,SW,W,21.0,24.0,46.8,20.3,1009.3,1008.5,1.0,,18.3,24.0,No
2008-12-08,Albury,8.1,26.1,0.0,,,W,34.0,SSE,W,5.0,16.0,46.8,20.8,1013.5,1009.7,,,17.1,25.9,No
2008-12-09,Albury,9.5,31.8,0.0,,,NNW,80.0,SE,NW,6.0,28.0,42.1,8.5,1008.9,1003.6,,,18.0,28.9,No
2008-12-10,Albury,13.4,30.1,1.4,,,W,28.0,S,SSE,14.0,12.0,57.6,24.6,1007.2,1005.7,,,18.9,28.2,Yes
2008-12-11,Albury,13.2,31.0,0.0,,,N,29.0,SSE,ESE,17.0,7.0,50.7,19.3,1011.6,1008.9,,,20.7,28.9,No
2008-12-12,Albury,15.7,21.4,2.2,,,NNE,31.0,NE,ENE,14.0,15.0,87.9,90.3,1010.6,1004.7,8.0,8.0,15.2,17.0,Yes
2008-12-13,Albury,16.0,18.2,15.6,,,W,64.0,NNW,NNW,27.0,28.0,74.2,94.6,994.2,993.2,8.0,8.0,17.2,16.2,Yes
2008-12-14,Albury,11.6,20.8,3.6,,,SW,43.0,W,SSW,25.0,20.0,66.1,44.8,1001.2,1002.0,,7.0,16.3,20.2,Yes
2008-12-15,Albury,7.5,25.2,0.0,,,,,S,WNW,4.0,30.0,55.7,35.2,1010.1,1008.7,,,15.3,23.2,No
2008-12-16,Albury,9.5,27.7,,,,WNW,49.0,,WNW,,23.0,51.5,28.4,1013.6,1010.2,0.0,,16.6,27.0,
2008-12-17,Albury,13.6,21.2,0.0,,,ENE,22.0,SSW,E,11.0,11.0,68.4,79.8,1012.2,1010.8,8.0,1.0,17.4,18.3,No
2008-12-18,Albury,13.7,23.5,16.8,,,W,62.0,N,WNW,5.0,19.0,78.6,65.1,1005.9,1002.2,8.0,1.0,18.4,21.6,Yes
2008-12-19,Albury,10.7,22.5,10.6,,,SSE,42.0,WSW,SW,24.0,17.0,47.2,30.8,1009.4,1010.5,,2.0,16.3,21.5,Yes
2008-12-20,Albury,9.1,25.6,0.0,,,SSE,24.0,SE,NNW,19.0,5.0,44.7,25.9,1018.9,1016.9,,,16.1,22.7,No
2008-12-21,Albury,12.2,29.3,0.0,,,S,23.0,SE,SE,8.0,9.0,53.8,27.3,1019.6,1015.0,,,19.0,26.9,No
2008-12-22,Albury,17.0,32.8,0.0,,,NE,43.0,NE,N,17.0,21.0,38.4,32.2,1013.3,1008.0,,1.0,25.1,31.2,No
2008-12-23,Albury,20.5,32.1,0.0,,,WNW,40.0,W,W,18.0,20.0,52.4,22.0,1007.7,1005.1,,,24.2,30.9,No
2008-12-24,Albury,14.6,30.9,0.0,,,N,33.0,ESE,NW,6.0,13.0,53.9,23.9,1011.2,1008.0,5.0,,21.2,28.9,No
2008-12-25,Albury,12.3,32.7,0.0,,,W,43.0,E,W,3.0,21.0,49.7,18.2,1012.5,1010.1,,,21.4,31.6,No
2008-12-26,Albury,16.3,34.1,0.0,,,WSW,34.0,SE,WSW,7.0,14.0,47.2,15.8,1010.7,1007.4,,1.0,24.2,33.3,No
2008-12-27,Albury,16.3,32.9,0.0,,,WSW,58.0,,W,0.0,26.0,40.7,24.8,1006.7,1003.1,,1.0,27.0,31.2,No
2008-12-28,Albury,20.3,32.2,0.0,,,WNW,48.0,N,WNW,13.0,30.0,55.9,16.9,1005.2,1001.8,,,24.7,31.5,No
2008-12-29,Albury,19.4,26.8,0.0,,,WNW,45.0,NW,WSW,18.0,30.0,48.2,21.1,1004.5,1004.2,,,21.2,26.3,No
2008-12-30,Albury,12.4,24.3,1.2,,,WNW,48.0,WSW,SW,12.0,22.0,74.6,69.3,1005.7,1003.6,8.0,8.0,12.4,18.7,Yes
